timestamp,target
1679599777.433763,"[[1, -20.11284284641426, 60.71056946800885, 262.3685768996322, 0.0010255721815379717]]"
1679599777.7035146,"[[1, -22.295107037579122, 49.87672231964077, 263.69494152689697, 0.000996838108937904]]"
1679599777.9730926,"[[1, -18.327940023259565, 73.44251466465968, 258.6874772560611, 0.0008533672608565437]]"
1679599778.2514904,[]
1679599778.5210772,"[[1, -15.400863663960845, 53.149183379880085, 264.380709709509, 0.0013267863264080052]]"
1679599778.7927582,"[[1, -23.763396364805775, 53.293379210668725, 263.54530134963153, 0.0016600054154399001], [2, -5.381175225862289, -1.30568695069866, 11.4658637604217, 0.0008638644127745151]]"
1679599779.0653648,"[[1, -22.23370974576864, 58.195073149736864, 262.4426171243116, 0.001558818466572496]]"
1679599779.3325484,[]
1679599779.6041956,"[[1, -28.626381291183357, 52.433865280513295, 263.8358947092721, 0.0021156759151676604]]"
1679599779.873328,"[[1, -27.76734126180723, 62.97888219997625, 260.60860643296513, 0.00172935137745105]]"
1679599780.1448095,"[[1, -7.275380316064887, 54.72337601486761, 264.17753947912837, 0.0012164645471952073]]"
1679599780.4113069,"[[1, -23.293233206725102, 57.82315863488304, 262.8946992279938, 0.0018174745587843392]]"
1679599780.6803632,"[[1, -18.805084476310352, 55.266955826694165, 263.4140071340442, 0.0015492675387173398]]"
1679599780.94968,"[[1, -24.87274544143922, 53.40433128339226, 263.1077032870009, 0.0017956024475686955]]"
1679599781.2296536,"[[1, -20.77881223334298, 59.19320482980475, 262.0190131214506, 0.0012195288622382353]]"
1679599781.4968014,"[[1, -26.503894026681106, 64.99716579375237, 260.4913733123281, 0.0010321859313189724]]"
1679599781.7673137,"[[1, -26.37886942339101, 70.9410451559204, 258.7435780133594, 0.0007709552519074927]]"
1679599782.04071,[]
1679599782.3155751,[]
1679599782.5799005,"[[1, -34.277991190901616, 50.058968143400875, 264.0934596160283, 0.0016938009243551387]]"
